Film Studio/Producer(s),Film ID
Famous Players-Lasky,2becf7d5-a3de-46ab-ae45-abdd6b588067
Fox,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
The Caddo Company,3111c2d8-0908-4093-8ff3-99c89f2f2f08
Metro-Goldwyn-Mayer,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Feature Productions,609887c2-877c-43a4-b88c-e40e31096a98
Metro-Goldwyn-Mayer,689f22d5-a700-4ce1-b9be-65652f32c186
Fox,a0644f19-a136-44c2-ab5d-50978ef19608
Paramount Famous Lasky,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
Universal,281742f9-3b4e-480d-b704-c8c15de6b721
Cosmopolitan,297aa285-29d7-4a22-b833-c5632ab3e562
Warner Bros.,831f96b0-ebf5-4e09-b47c-d39817b86092
Metro-Goldwyn-Mayer,71614648-8545-4f91-a15e-4991f0eb7f13
Paramount Famous Lasky,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
RKO Radio,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
Fox,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
The Caddo Company,c873d149-786b-413f-ba9d-9978040b5436
Paramount Publix,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
Metro-Goldwyn-Mayer,bd308f8f-cb26-43a0-8b5b-f110934927e0
Metro-Goldwyn-Mayer,be69f946-6adc-47e4-8491-79d6c033f59d
Samuel Goldwyn Productions,91572891-4303-45c2-967a-601b9fa8fe70
Fox,e97f865a-8711-465a-88da-423b67c08738
Metro-Goldwyn-Mayer,c8994348-093e-4e22-8ffe-6ad3332a2bab
First National,9236968a-9ea9-473b-abe2-28ec8c141a8e
Paramount Publix,2299e2df-e18d-41d7-b5b9-ec0041db956d
Paramount Publix,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
Paramount Publix,cbe0150a-db25-4d46-9d21-183802460465
Fox,e71a2212-92c3-4212-9eb2-d468f10c768e
Warner Bros.,1ad59370-1ed5-4d3a-a8c4-8571f95da168
Paramount,39ab1f95-f400-4cdc-be82-425015486234
Warner Bros.,e36dda02-b84a-4337-ad66-cfa30a5df599
Columbia,7dda746d-5569-4711-afa6-9b76b5e7fa4f
RKO Radio,f6fa2e25-588d-414f-a59d-67b9eb033270
London Films,625a769c-475b-4c27-8c25-01905fe4f583
Paramount,af3be976-1cee-4383-a6f1-50545a634ab5
Metro-Goldwyn-Mayer,cd94faa5-73a9-49d2-82ab-4fcafbde6dc8
Fox,01707372-d948-43ef-91ed-f57945a48ed4
Columbia,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
Metro-Goldwyn-Mayer,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
Paramount,30a8cacf-0902-4d8c-9c02-934c09e284a6
First National,97e60fc4-5f01-412e-b350-075f1c78939f
RKO Radio,4cff46f4-7853-40a0-9b52-39643b2d257a
Warner Bros.,becfca3d-e679-46b3-a592-a13fcef61f5a
20th Century,a1f33617-6fce-4106-bcd4-4e5b540175e2
Universal,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
Columbia,ff621866-7c96-4eb3-855c-0c10be8340ce
Metro-Goldwyn-Mayer,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
Metro-Goldwyn-Mayer,3ca53584-968b-4ef8-9a29-408223864bc9
Jesse L. Lasky (production company),8d241c99-a9e3-4371-8011-949b36ca7f47
Metro-Goldwyn-Mayer,3cea2927-f5a4-4ffb-9e17-88566f2cd111
RKO Radio,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
Metro-Goldwyn-Mayer,11f40e01-e1d5-4f74-ae72-230823543e37
Cosmopolitan,106183d2-50d3-4d50-8ead-6ed52a93f7c6
Metro-Goldwyn-Mayer,303fd7b4-de82-4d82-a79f-857b45dda877
RKO Radio,98c15d3b-d3c6-4af3-b717-12d446154f5d
Paramount,f6953c25-25ea-41d3-807c-ef4fdfed54cd
Warner Bros.,dee5c6d4-6438-4110-b72a-a49322b52070
20th Century,521b9bf2-426b-49a1-aeb3-d228db8a970c
Metro-Goldwyn-Mayer,adde70ec-0094-4ce0-91ff-6b9ab12387fd
Paramount,f4c74985-f2ec-45db-b8aa-444087ad34d4
RKO Radio,c7ea701f-f0be-4108-b734-14412b70d3b2
Metro-Goldwyn-Mayer,321ede7b-fac6-4259-b070-b403b3404042
Warner Bros.,339e98eb-684b-4a4e-a67c-9a3ffb5f0de9
Samuel Goldwyn Productions,693ad8e8-f9cf-4c4d-b332-18026348de67
Metro-Goldwyn-Mayer,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Columbia,9a189d11-e4f6-4b2b-9762-702806ce4a85
